state,value
AL,38.74
AK,37.89
AZ,44.91
AR,38.86
CA,60.94
CO,53.66
CT,60.59
DE,61.91
DC,92.46
FL,50.91
GA,46.9
HI,71.85
ID,35.91
IL,61.85
IN,49.87
IA,53.93
KS,41.57
KY,41.15
LA,39.93
ME,57.71
MD,61.92
MA,61.8
MI,57.33
MN,54.06
MS,43
MO,49.24
MT,47.11
NE,41.6
NV,55.15
NH,54.13
NJ,57.14
NM,56.91
NY,62.88
NC,49.7
ND,44.5
OH,51.38
OK,34.35
OR,56.75
PA,54.47
RI,62.86
SC,44.9
SD,44.75
TN,41.79
TX,43.63
UT,34.22
VT,67.46
VA,52.63
WA,57.34
WV,42.51
WI,56.22
WY,32.54
