lat,lon,value,tab
-0,-78.4,1,Twitter
-0,0,5,Twitter
-0,109.3,198,Twitter
-0,109.4,3,Twitter
-0.1,-78.4,1,Twitter
-0.1,-78.5,17,Twitter
-0.1,-79.3,1,Twitter
-0.1,109.3,5,Twitter
-0.1,109.4,12,Twitter
-0.1,34.8,2,Twitter
-0.2,-78.4,3,Twitter
-0.2,-78.5,213,Twitter
-0.2,-79.2,2,Twitter
-0.2,100.6,3,Twitter
-0.2,115.7,1,Twitter
-0.3,-78.5,1,Twitter
-0.3,100.2,1,Twitter
-0.3,100.4,19,Twitter
-0.3,100.5,1,Twitter
-0.3,100.6,1,Twitter
-0.3,103.2,1,Twitter
-0.3,117.1,1,Twitter
-0.3,36.1,4,Twitter
-0.4,100.4,2,Twitter
-0.4,100.6,1,Twitter
-0.4,102.5,1,Twitter
-0.4,117,11,Twitter
-0.4,117.1,1,Twitter
-0.4,117.2,2,Twitter
-0.5,100.4,2,Twitter
-0.5,101.5,2,Twitter
-0.5,117.1,66,Twitter
-0.5,117.2,99,Twitter
-0.6,-47.3,1,Twitter
-0.6,-63.4,2,Twitter
-0.6,100.8,1,Twitter
-0.6,117.1,2,Twitter
-0.6,35.3,1,Twitter
-0.7,-90.3,1,Twitter
-0.7,100.8,2,Twitter
-0.7,73.1,1,Twitter
-0.8,100.3,2,Twitter
-0.8,100.6,1,Twitter
-0.8,100.7,1,Twitter
-0.8,103.5,2,Twitter
-0.8,117,1,Twitter
-0.8,119.9,3,Twitter
-0.8,35.4,1,Twitter
-0.9,-52.5,1,Twitter
-0.9,-80.7,12,Twitter
-0.9,100.3,9,Twitter
-0.9,100.4,256,Twitter
-0.9,100.5,5,Twitter
-0.9,117,1,Twitter
-0.9,119.8,2,Twitter
-0.9,119.9,29,Twitter
-0.9,122.8,1,Twitter
-0.9,131.2,1,Twitter
-0.9,131.3,2,Twitter
-0.9,134,2,Twitter
-0.9,134.1,1,Twitter
-0.9,35.4,1,Twitter
-1,-79.5,1,Twitter
-1,-80.5,2,Twitter
-1,-80.7,2,Twitter
-1,100.4,32,Twitter
-1,103.1,1,Twitter
-1,114.9,1,Twitter
-1,122.8,3,Twitter
-1,37.1,3,Twitter
-1.1,-80.4,2,Twitter
-1.1,-80.5,1,Twitter
-1.1,36.7,1,Twitter
-1.2,-78.6,6,Twitter
-1.2,116.8,18,Twitter
-1.2,116.9,40,Twitter
-1.2,136.1,1,Twitter
-1.2,34.6,1,Twitter
-1.2,36.7,1,Twitter
-1.2,36.9,1,Twitter
-1.3,-47.9,6,Twitter
-1.3,-78.6,1,Twitter
-1.3,116.6,1,Twitter
-1.3,116.8,181,Twitter
-1.3,116.9,11,Twitter
-1.3,117,1,Twitter
-1.3,176,3,Twitter
-1.3,36.7,1,Twitter
-1.3,36.8,406,Twitter
-1.3,36.9,2,Twitter
-1.4,-48.4,14,Twitter
-1.4,-48.5,8,Twitter
-1.4,103.9,1,Twitter
-1.4,116.7,1,Twitter
-1.4,120.8,1,Twitter
-1.4,120.9,1,Twitter
-1.4,16.3,1,Twitter
-1.4,36.9,1,Twitter
-1.4,37.8,1,Twitter
-1.4,38,1,Twitter
-1.5,-48.5,48,Twitter
-1.5,-48.6,2,Twitter
-1.5,-52.6,1,Twitter
-1.5,101.1,1,Twitter
-1.5,102.1,1,Twitter
-1.6,-79.8,1,Twitter
-1.6,103.5,2,Twitter
-1.6,103.6,48,Twitter
-1.6,103.7,1,Twitter
-1.7,-78.6,2,Twitter
-1.8,-79.3,1,Twitter
-1.8,-79.5,1,Twitter
-1.8,106.1,4,Twitter
-1.8,110,2,Twitter
-1.8,113.8,10,Twitter
-1.8,115.9,1,Twitter
-1.9,-54.7,4,Twitter
-1.9,106.1,2,Twitter
-1.9,116.2,1,Twitter
-1.9,136.3,1,Twitter
-10,-67.8,122,Twitter
-10.1,-36.2,1,Twitter
-10.1,123.5,1,Twitter
-10.2,-48.3,74,Twitter
-10.2,-51.1,1,Twitter
-10.2,-55,3,Twitter
-10.2,123.6,16,Twitter
-10.2,123.7,1,Twitter
-10.3,-36.5,5,Twitter
-10.3,-36.6,1,Twitter
-10.3,-49,2,Twitter
-10.3,-63.7,4,Twitter
-10.4,-62.5,5,Twitter
-10.4,-77.2,1,Twitter
-10.5,-40.2,1,Twitter
-10.5,-40.3,2,Twitter
-10.5,-68.6,1,Twitter
-10.7,-37.4,4,Twitter
-10.7,-38.6,2,Twitter
-10.7,-48.4,4,Twitter
-10.7,-69.8,1,Twitter
-10.7,-76.3,1,Twitter
-10.8,-37.2,3,Twitter
-10.8,-55.5,3,Twitter
-10.9,-37,1,Twitter
-10.9,-37.1,556,Twitter
-10.9,-37.7,8,Twitter
-10.9,-69.6,1,Twitter
-11,-37,1,Twitter
-11,-37.1,1,Twitter
-11.1,-37.1,1,Twitter
-11.1,-76,4,Twitter
-11.2,-37.9,12,Twitter
-11.2,-40.5,1,Twitter
-11.3,-57.7,5,Twitter
-11.4,-39.5,1,Twitter
-11.4,-40,1,Twitter
-11.4,-58.7,3,Twitter
-11.4,-61.4,4,Twitter
-11.7,-49.1,15,Twitter
-11.7,-76.3,1,Twitter
-11.8,-55.5,1,Twitter
-11.8,-77.2,2,Twitter
-11.9,-55.5,29,Twitter
-11.9,-76.7,1,Twitter
-11.9,-77.1,1,Twitter
-12,-40.6,1,Twitter
-12,-76.9,1,Twitter
-12,-77,1208,Twitter
-12,-77.1,13,Twitter
-12,17.5,1,Twitter
-12.1,-38.4,3,Twitter
-12.1,-41.1,1,Twitter
-12.1,-45,21,Twitter
-12.1,-75.2,6,Twitter
-12.1,-76.8,1,Twitter
-12.1,-76.9,5,Twitter
-12.1,-77,89,Twitter
-12.1,-77.1,29,Twitter
-12.1,96.8,8,Twitter
-12.2,-76.9,1,Twitter
-12.2,-77,6,Twitter
-12.2,136.8,1,Twitter
-12.2,96.8,1,Twitter
-12.3,-39,85,Twitter
-12.3,-40.2,1,Twitter
-12.3,-76.9,1,Twitter
-12.4,-37.9,1,Twitter
-12.4,-38.3,1,Twitter
-12.4,-39.1,33,Twitter
-12.4,-76.8,1,Twitter
-12.4,130.9,4,Twitter
-12.5,-38,1,Twitter
-12.5,-40.3,2,Twitter
-12.5,130.8,59,Twitter
-12.5,131,1,Twitter
-12.6,-39.1,9,Twitter
-12.6,-52.2,1,Twitter
-12.6,-55.7,8,Twitter
-12.7,-38.5,2,Twitter
-12.7,-60.1,1,Twitter
-12.7,-76.6,1,Twitter
-12.7,45.1,1,Twitter
-12.8,-60.1,13,Twitter
-12.8,-76.6,1,Twitter
-12.9,-38.3,34,Twitter
-12.9,-38.5,3,Twitter
-13,-38.4,4,Twitter
-13,-38.5,2622,Twitter
-13,-39.3,1,Twitter
-13,-44.1,2,Twitter
-13,-46.8,1,Twitter
-13.1,-39.6,1,Twitter
-13.1,-60.5,1,Twitter
-13.2,-39.5,1,Twitter
-13.2,-43.4,1,Twitter
-13.2,-56,5,Twitter
-13.3,-43.4,1,Twitter
-13.3,-72.1,1,Twitter
-13.4,-39.1,1,Twitter
-13.5,-72,1,Twitter
-13.6,-172.5,5,Twitter
-13.6,-72.1,20,Twitter
-13.7,-39.5,1,Twitter
-13.8,-56.1,1,Twitter
-13.8,-57.9,1,Twitter
-13.9,-40.1,1,Twitter
-13.9,-56.1,2,Twitter
-13.9,-57.2,1,Twitter
-14,33.8,1,Twitter
-14.1,-39.6,2,Twitter
-14.1,-39.7,1,Twitter
-14.1,-46.4,1,Twitter
-14.1,-48.1,17,Twitter
-14.1,-75.7,9,Twitter
-14.2,-42.8,1,Twitter
-14.2,-56.3,123,Twitter
-14.3,-170.7,1,Twitter
-14.4,-56.4,1,Twitter
-14.4,143.3,1,Twitter
-14.5,-42.6,8,Twitter
-14.5,-48.5,1,Twitter
-14.6,-57.5,1,Twitter
-14.7,-39.4,2,Twitter
-14.7,-39.6,2,Twitter
-14.7,-49.6,6,Twitter
-14.7,28.1,2,Twitter
-14.8,-39,1,Twitter
-14.8,-39.3,59,Twitter
-14.9,-39,1,Twitter
-14.9,-40.8,20,Twitter
-15,-51.1,2,Twitter
-15,-57.2,1,Twitter
-15.1,-57.1,1,Twitter
-15.2,-49.8,1,Twitter
-15.2,-59.3,3,Twitter
-15.3,-40.3,1,Twitter
-15.4,-39,1,Twitter
-15.4,28.3,25,Twitter
-15.5,-47.3,11,Twitter
-15.5,-47.6,2,Twitter
-15.5,-55.2,6,Twitter
-15.5,-55.7,1,Twitter
-15.5,-70.1,1,Twitter
-15.6,-47.7,7,Twitter
-15.6,-47.8,1,Twitter
-15.6,-47.9,1,Twitter
-15.6,-54.3,10,Twitter
-15.6,-56.1,32,Twitter
-15.7,-47.8,4,Twitter
-15.7,-47.9,7,Twitter
-15.7,-56.1,2,Twitter
-15.8,-42.2,2,Twitter
-15.8,-43.1,1,Twitter
-15.8,-47.8,471,Twitter
-15.8,-47.9,955,Twitter
-15.8,-48,14,Twitter
-15.8,-48.1,36,Twitter
-15.8,-54.9,1,Twitter
-15.8,35,6,Twitter
-15.9,-47.8,1,Twitter
-15.9,-47.9,82,Twitter
-15.9,-48,3,Twitter
-15.9,-48.1,3,Twitter
-15.9,-50.2,35,Twitter
-15.9,-55,1,Twitter
-15.9,-70,5,Twitter
-16,-39.5,1,Twitter
-16,-39.9,1,Twitter
-16,-48.1,21,Twitter
-16,-55,2,Twitter
-16.1,-47.9,2,Twitter
-16.1,-48,1,Twitter
-16.3,-47.9,1,Twitter
-16.3,-49,11,Twitter
-16.3,-71.6,51,Twitter
-16.4,-39,1,Twitter
-16.4,-39.6,1,Twitter
-16.4,-46.9,1,Twitter
-16.4,-47.8,1,Twitter
-16.4,-71.5,2,Twitter
-16.5,-151.7,11,Twitter
-16.5,-39.1,27,Twitter
-16.5,-51.1,1,Twitter
-16.5,-54.6,13,Twitter
-16.5,-68.1,91,Twitter
-16.5,-68.2,1,Twitter
-16.5,145.5,1,Twitter
-16.6,-39.1,2,Twitter
-16.6,-41.8,1,Twitter
-16.6,-49.2,31,Twitter
-16.6,-49.5,3,Twitter
-16.6,34.1,3,Twitter
-16.7,-43.8,2,Twitter
-16.7,-43.9,107,Twitter
-16.7,-49.1,2,Twitter
-16.7,-49.2,5,Twitter
-16.7,-49.3,244,Twitter
-16.8,-47.6,2,Twitter
-16.8,-49.2,1,Twitter
-16.8,-49.3,5,Twitter
-16.8,145.7,1,Twitter
-16.9,145.7,3,Twitter
-16.9,145.8,82,Twitter
-17,-39.6,2,Twitter
-17.2,-43.9,1,Twitter
-17.2,-46.9,3,Twitter
-17.2,34.4,2,Twitter
-17.3,-44.9,5,Twitter
-17.3,-48.3,2,Twitter
-17.3,-48.8,1,Twitter
-17.3,-49,2,Twitter
-17.3,-49.9,7,Twitter
-17.3,-53.2,1,Twitter
-17.4,-40.2,1,Twitter
-17.4,-66.2,21,Twitter
-17.5,-39.7,25,Twitter
-17.5,146,2,Twitter
-17.6,-39.7,1,Twitter
-17.6,-52.5,5,Twitter
-17.7,-149.4,11,Twitter
-17.7,-48.2,1,Twitter
-17.7,-48.6,14,Twitter
-17.7,-49.1,2,Twitter
-17.7,168.3,1,Twitter
-17.8,-179.3,8,Twitter
-17.8,-40.3,5,Twitter
-17.8,-42.6,2,Twitter
-17.8,-50.6,1,Twitter
-17.8,-50.9,24,Twitter
-17.8,-63.2,9,Twitter
-17.8,177.2,1,Twitter
-17.8,177.4,1,Twitter
-17.8,25.2,2,Twitter
-17.8,31.1,20,Twitter
-17.8,31.3,1,Twitter
-17.9,-41.5,7,Twitter
-17.9,-42.1,1,Twitter
-17.9,122.2,1,Twitter
-17.9,19.7,2,Twitter
-17.9,25.9,1,Twitter
-18,-46.9,2,Twitter
-18,-67.1,5,Twitter
-18,-70.3,9,Twitter
-18,122.2,1,Twitter
-18.1,-48.3,1,Twitter
-18.1,-49.1,1,Twitter
-18.1,-49.4,2,Twitter
-18.1,177.4,1,Twitter
-18.1,178.4,11,Twitter
-18.2,-43.6,12,Twitter
-18.2,-45.2,1,Twitter
-18.2,-47.9,2,Twitter
-18.3,-47.1,3,Twitter
-18.4,-49.2,17,Twitter
-18.4,-70.3,1,Twitter
-18.5,-54.7,2,Twitter
-18.5,-70.3,88,Twitter
-18.6,-43.4,1,Twitter
-18.6,-46.5,63,Twitter
-18.6,-48.2,23,Twitter
-18.6,-48.7,1,Twitter
-18.7,-39.8,2,Twitter
-18.7,-39.9,1,Twitter
-18.7,-41.4,1,Twitter
-18.7,-44.4,2,Twitter
-18.7,-47.5,1,Twitter
-18.8,-41.9,86,Twitter
-18.9,-47,6,Twitter
-18.9,-48.2,4,Twitter
-18.9,-48.3,10,Twitter
-18.9,-50.6,1,Twitter
-18.9,47.5,13,Twitter
-19,-49.5,26,Twitter
-19,-57.6,1,Twitter
-19,-65.3,6,Twitter
-19.2,-41.4,1,Twitter
-19.2,-42.5,1,Twitter
-19.2,-47.7,1,Twitter
-19.2,146.8,1,Twitter
-19.3,-41.2,3,Twitter
-19.3,-46.1,1,Twitter
-19.3,-48.9,1,Twitter
-19.3,146.8,91,Twitter
-19.4,-40.1,16,Twitter
-19.4,-44.2,1,Twitter
-19.5,-40.6,38,Twitter
-19.5,-42.1,1,Twitter
-19.5,-42.5,128,Twitter
-19.5,-42.6,16,Twitter
-19.5,-44.2,51,Twitter
-19.5,-49.5,1,Twitter
-19.6,-41.2,1,Twitter
-19.6,-43.2,28,Twitter
-19.6,-43.6,1,Twitter
-19.6,-43.9,13,Twitter
-19.6,-44,3,Twitter
-19.6,-44.3,1,Twitter
-19.6,-46.9,2,Twitter
-19.7,-43.9,8,Twitter
-19.7,-44.9,2,Twitter
-19.7,-45.3,12,Twitter
-19.7,-47.9,172,Twitter
-19.7,-50.2,1,Twitter
-19.8,-42.1,18,Twitter
-19.8,-43,1,Twitter
-19.8,-43.2,1,Twitter
-19.8,-43.9,8,Twitter
-19.8,-44,2,Twitter
-19.8,34.8,1,Twitter
-19.9,-40.1,5,Twitter
-19.9,-43.5,2,Twitter
-19.9,-43.8,2,Twitter
-19.9,-43.9,3628,Twitter
-19.9,-44,20,Twitter
-19.9,-44.1,46,Twitter
-19.9,-44.6,2,Twitter
-19.9,-45,13,Twitter
-19.9,-45.5,10,Twitter
-19.9,-47.5,3,Twitter
-2,-44.6,1,Twitter
-2,30.1,14,Twitter
-2.1,-79.6,2,Twitter
-2.1,-79.9,55,Twitter
-2.1,-80,1,Twitter
-2.1,-80.8,2,Twitter
-2.1,102.3,3,Twitter
-2.1,105.2,1,Twitter
-2.1,106.1,11,Twitter
-2.1,115.4,1,Twitter
-2.1,126,1,Twitter
-2.1,37.6,1,Twitter
-2.2,-79.6,1,Twitter
-2.2,-79.8,4,Twitter
-2.2,-79.9,357,Twitter
-2.2,-80,3,Twitter
-2.2,-80.1,1,Twitter
-2.2,-80.8,2,Twitter
-2.2,-80.9,1,Twitter
-2.2,-81,1,Twitter
-2.2,105.1,1,Twitter
-2.2,106.1,1,Twitter
-2.2,113.8,16,Twitter
-2.2,113.9,17,Twitter
-2.2,115.4,1,Twitter
-2.3,-79.2,1,Twitter
-2.3,-80.9,1,Twitter
-2.3,102.7,1,Twitter
-2.3,106,5,Twitter
-2.3,113.9,1,Twitter
-2.4,-54.7,5,Twitter
-2.4,-80.3,1,Twitter
-2.4,-80.4,2,Twitter
-2.4,-80.5,1,Twitter
-2.4,115.3,1,Twitter
-2.4,29.1,1,Twitter
-2.5,-44.2,2,Twitter
-2.5,-44.3,4,Twitter
-2.5,106.4,1,Twitter
-2.5,110.2,2,Twitter
-2.5,111,1,Twitter
-2.5,112.9,2,Twitter
-2.5,113,4,Twitter
-2.5,121.4,2,Twitter
-2.5,133.6,2,Twitter
-2.5,140.7,17,Twitter
-2.5,32.9,4,Twitter
-2.6,-44.2,10,Twitter
-2.6,-44.3,30,Twitter
-2.6,-56.7,2,Twitter
-2.6,-80.4,1,Twitter
-2.6,113,3,Twitter
-2.6,120.3,2,Twitter
-2.6,121.1,2,Twitter
-2.6,140.5,2,Twitter
-2.6,140.6,3,Twitter
-2.6,140.7,3,Twitter
-2.7,-78.8,2,Twitter
-2.7,-80.3,1,Twitter
-2.7,104.1,1,Twitter
-2.7,107.7,2,Twitter
-2.7,111.6,1,Twitter
-2.7,111.7,1,Twitter
-2.8,115.3,2,Twitter
-2.9,-40.8,2,Twitter
-2.9,-41.7,1,Twitter
-2.9,-41.8,7,Twitter
-2.9,-78.8,1,Twitter
-2.9,-79,24,Twitter
-2.9,104.7,27,Twitter
-2.9,104.8,29,Twitter
-2.9,108.3,1,Twitter
-2.9,114.9,1,Twitter
-2.9,13.8,1,Twitter
-2.9,132.3,3,Twitter
-20,-43.8,21,Twitter
-20,-43.9,7,Twitter
-20,-44,80,Twitter
-20,-44.1,1,Twitter
-20,-44.2,2,Twitter
-20,-48.9,4,Twitter
-20,148.2,1,Twitter
-20,23.4,2,Twitter
-20.1,-40.2,2,Twitter
-20.1,-44.3,1,Twitter
-20.1,-44.6,3,Twitter
-20.1,-44.9,24,Twitter
-20.1,57.5,2,Twitter
-20.1,57.6,1,Twitter
-20.2,-40.2,7,Twitter
-20.2,-44,2,Twitter
-20.2,-44.8,1,Twitter
-20.2,-50.9,17,Twitter
-20.2,-51.2,9,Twitter
-20.2,-56.4,1,Twitter
-20.2,-70.1,102,Twitter
-20.2,-70.2,1,Twitter
-20.2,149,3,Twitter
-20.2,57.5,14,Twitter
-20.3,-40.3,288,Twitter
-20.3,-40.4,25,Twitter
-20.3,-41.1,2,Twitter
-20.3,-43.8,4,Twitter
-20.3,-45.5,7,Twitter
-20.3,-47.8,13,Twitter
-20.3,-48.3,4,Twitter
-20.3,-50.2,7,Twitter
-20.3,-50.5,24,Twitter
-20.3,-70.1,4,Twitter
-20.3,118.6,2,Twitter
-20.3,148.7,2,Twitter
-20.3,148.9,1,Twitter
-20.3,57.4,2,Twitter
-20.3,57.8,1,Twitter
-20.4,-40.3,1,Twitter
-20.4,-42.9,11,Twitter
-20.4,-43.4,12,Twitter
-20.4,-43.5,33,Twitter
-20.4,-44.8,1,Twitter
-20.4,-50,63,Twitter
-20.4,-51.3,15,Twitter
-20.4,-52.9,1,Twitter
-20.4,-53.8,2,Twitter
-20.4,-54.6,1,Twitter
-20.4,57.7,1,Twitter
-20.5,-41.4,1,Twitter
-20.5,-43.7,4,Twitter
-20.5,-43.8,4,Twitter
-20.5,-44.5,1,Twitter
-20.5,-45.4,25,Twitter
-20.5,-46,8,Twitter
-20.5,-46.7,5,Twitter
-20.5,-47.4,123,Twitter
-20.5,-49.8,1,Twitter
-20.5,-54.6,5,Twitter
-20.5,-55.8,5,Twitter
-20.5,16.7,1,Twitter
-20.6,-41.2,4,Twitter
-20.6,-46,1,Twitter
-20.6,-47.9,1,Twitter
-20.6,-48.6,83,Twitter
-20.6,-49.7,2,Twitter
-20.6,-51.1,4,Twitter
-20.7,-40.5,36,Twitter
-20.7,-41.9,1,Twitter
-20.7,-42,2,Twitter
-20.7,-43.8,27,Twitter
-20.7,-46.2,1,Twitter
-20.7,-46.6,27,Twitter
-20.7,-47.8,1,Twitter
-20.7,-47.9,1,Twitter
-20.7,-48.1,4,Twitter
-20.7,-48.9,5,Twitter
-20.7,116.8,2,Twitter
-20.7,117.1,1,Twitter
-20.7,139.5,6,Twitter
-20.8,-40.6,3,Twitter
-20.8,-40.7,1,Twitter
-20.8,-41.1,47,Twitter
-20.8,-41.5,2,Twitter
-20.8,-48.8,1,Twitter
-20.8,-49.3,1,Twitter
-20.8,-49.4,73,Twitter
-20.8,-49.5,4,Twitter
-20.8,-51.7,5,Twitter
-20.9,-40.8,1,Twitter
-20.9,-44.5,1,Twitter
-20.9,-46.1,1,Twitter
-20.9,-47,2,Twitter
-20.9,-47.6,30,Twitter
-20.9,-48.3,5,Twitter
-20.9,-48.5,33,Twitter
-20.9,-48.6,3,Twitter
-20.9,-51.4,11,Twitter
-20.9,165.6,1,Twitter
-20.9,55.3,1,Twitter
-20.9,55.5,3,Twitter
-21,-40.8,1,Twitter
-21,-47.7,3,Twitter
-21,-47.8,2,Twitter
-21,-48,1,Twitter
-21,-48.2,1,Twitter
-21,-48.8,5,Twitter
-21,-49.4,2,Twitter
-21,-55,1,Twitter
-21,55.3,41,Twitter
-21,55.7,1,Twitter
-21.1,-41.7,1,Twitter
-21.1,-42.4,1,Twitter
-21.1,-42.9,1,Twitter
-21.1,-43,1,Twitter
-21.1,-44.2,1,Twitter
-21.1,-44.3,1,Twitter
-21.1,-47.8,3,Twitter
-21.1,-48,1,Twitter
-21.1,-48.8,1,Twitter
-21.1,-49,67,Twitter
-21.1,-56.5,5,Twitter
-21.1,148.9,1,Twitter
-21.1,149.2,19,Twitter
-21.1,55.5,14,Twitter
-21.2,-41.9,33,Twitter
-21.2,-43.8,39,Twitter
-21.2,-44,2,Twitter
-21.2,-45,34,Twitter
-21.2,-45.8,1,Twitter
-21.2,-47,1,Twitter
-21.2,-47.8,54,Twitter
-21.2,-48.2,1,Twitter
-21.2,-50.4,2,Twitter
-21.2,-50.5,1,Twitter
-21.2,-50.9,1,Twitter
-21.2,-51.8,1,Twitter
-21.3,-46.8,1,Twitter
-21.3,-47.7,3,Twitter
-21.3,-48.3,29,Twitter
-21.3,-48.5,22,Twitter
-21.3,-49.9,1,Twitter
-21.3,-50.3,41,Twitter
-21.3,-50.6,2,Twitter
-21.3,-51.6,2,Twitter
-21.3,-52,3,Twitter
-21.3,55.5,2,Twitter
-21.4,-42.7,14,Twitter
-21.4,-45.9,31,Twitter
-21.4,-46.5,5,Twitter
-21.4,-48.2,12,Twitter
-21.4,-48.5,18,Twitter
-21.4,-50.5,1,Twitter
-21.4,-51.6,2,Twitter
-21.4,55.6,2,Twitter
-21.5,-41.6,1,Twitter
-21.5,-42,1,Twitter
-21.5,-42.3,1,Twitter
-21.5,-42.5,1,Twitter
-21.5,-43.6,6,Twitter
-21.5,-46.8,2,Twitter
-21.5,-47,8,Twitter
-21.5,-47.4,2,Twitter
-21.5,-49.2,2,Twitter
-21.5,-49.9,1,Twitter
-21.5,-51.5,16,Twitter
-21.5,-54.8,824,Twitter
-21.5,-56.2,2,Twitter
-21.5,-64.7,3,Twitter
-21.6,-41.7,1,Twitter
-21.6,-45.4,56,Twitter
-21.6,-45.5,1,Twitter
-21.6,-46,5,Twitter
-21.6,-50.2,1,Twitter
-21.6,-51.4,1,Twitter
-21.6,-55.3,4,Twitter
-21.6,47.5,1,Twitter
-21.7,-41.2,3,Twitter
-21.7,-42.1,3,Twitter
-21.7,-42.4,1,Twitter
-21.7,-43.1,1,Twitter
-21.7,-43.4,1,Twitter
-21.7,-44.6,1,Twitter
-21.7,-45.6,1,Twitter
-21.7,-47.5,4,Twitter
-21.7,-48.1,2,Twitter
-21.7,-49.7,42,Twitter
-21.7,-51.1,5,Twitter
-21.7,-57.8,1,Twitter
-21.8,-41.3,85,Twitter
-21.8,-43.3,580,Twitter
-21.8,-43.4,6,Twitter
-21.8,-46.6,4,Twitter
-21.8,-46.9,2,Twitter
-21.8,-47.3,3,Twitter
-21.8,-48.2,156,Twitter
-21.8,-48.8,19,Twitter
-21.8,-50.9,2,Twitter
-21.8,-52.2,3,Twitter
-21.8,-52.5,1,Twitter
-21.9,-45.1,1,Twitter
-21.9,-45.4,1,Twitter
-21.9,-47.5,12,Twitter
-21.9,-47.6,6,Twitter
-21.9,-50.5,1,Twitter
-21.9,-50.7,1,Twitter
-21.9,-51.8,9,Twitter
-21.9,15.7,2,Twitter
-21.9,16.2,1,Twitter
-21.9,16.4,1,Twitter
-22,-42.2,1,Twitter
-22,-42.4,2,Twitter
-22,-43,1,Twitter
-22,-44.9,7,Twitter
-22,-46.6,4,Twitter
-22,-46.8,2,Twitter
-22,-47.4,34,Twitter
-22,-47.9,8,Twitter
-22,-48.9,1,Twitter
-22,-50,1,Twitter
-22,-50.5,1,Twitter
-22,-51.6,2,Twitter
-22,-51.7,1,Twitter
-22,-64.9,8,Twitter
-22.1,-43.2,7,Twitter
-22.1,-45.1,1,Twitter
-22.1,-47,3,Twitter
-22.1,-47.8,1,Twitter
-22.1,-48.7,6,Twitter
-22.1,-51.2,1,Twitter
-22.1,-51.4,154,Twitter
-22.1,-70.2,1,Twitter
-22.1,14.3,1,Twitter
-22.1,148.1,2,Twitter
-22.2,-42.4,4,Twitter
-22.2,-43.3,2,Twitter
-22.2,-44.4,1,Twitter
-22.2,-45.9,72,Twitter
-22.2,-46.8,2,Twitter
-22.2,-47.4,24,Twitter
-22.2,-49.7,1,Twitter
-22.2,-49.9,47,Twitter
-22.2,-50.9,10,Twitter
-22.2,-53.3,3,Twitter
-22.2,-54.8,101,Twitter
-22.2,-70.1,1,Twitter
-22.3,-42.5,49,Twitter
-22.3,-43.6,1,Twitter
-22.3,-45.7,4,Twitter
-22.3,-45.9,1,Twitter
-22.3,-46.4,4,Twitter
-22.3,-47.2,5,Twitter
-22.3,-48.1,7,Twitter
-22.3,-48.5,1,Twitter
-22.3,-48.6,15,Twitter
-22.3,-49,1,Twitter
-22.3,-49.1,342,Twitter
-22.3,-51.5,8,Twitter
-22.3,-53.8,1,Twitter
-22.3,-54.8,1,Twitter
-22.3,166.4,2,Twitter
-22.3,166.5,2,Twitter
-22.4,-41.8,2,Twitter
-22.4,-43,1,Twitter
-22.4,-43.2,1,Twitter
-22.4,-43.7,2,Twitter
-22.4,-45,3,Twitter
-22.4,-46.8,22,Twitter
-22.4,-47,43,Twitter
-22.4,-47.4,72,Twitter
-22.4,-47.6,179,Twitter
-22.4,-48.8,3,Twitter
-22.4,-49.1,1,Twitter
-22.4,15,2,Twitter
-22.5,-41.9,37,Twitter
-22.5,-42.7,4,Twitter
-22.5,-43.2,20,Twitter
-22.5,-43.5,1,Twitter
-22.5,-43.7,3,Twitter
-22.5,-44.1,151,Twitter
-22.5,-44.2,73,Twitter
-22.5,-44.5,47,Twitter
-22.5,-44.6,5,Twitter
-22.5,-44.8,2,Twitter
-22.5,-45.8,1,Twitter
-22.5,-47.5,3,Twitter
-22.5,-48.6,24,Twitter
-22.5,-48.7,4,Twitter
-22.5,-49,6,Twitter
-22.5,-52.2,1,Twitter
-22.5,-68.9,4,Twitter
-22.5,14.9,1,Twitter
-22.6,-43.2,1,Twitter
-22.6,-43.7,7,Twitter
-22.6,-45,39,Twitter
-22.6,-46.5,6,Twitter
-22.6,-46.7,9,Twitter
-22.6,-46.9,1,Twitter
-22.6,-47.1,3,Twitter
-22.6,-47.2,13,Twitter
-22.6,-47.4,170,Twitter
-22.6,-47.5,1,Twitter
-22.6,-48.8,1,Twitter
-22.6,-50.7,1,Twitter
-22.6,-55.7,1,Twitter
-22.6,145.7,6,Twitter
-22.6,17.1,17,Twitter
-22.7,-41.9,1,Twitter
-22.7,-42.6,4,Twitter
-22.7,-42.8,1,Twitter
-22.7,-43.3,2,Twitter
-22.7,-43.4,20,Twitter
-22.7,-43.6,8,Twitter
-22.7,-45,45,Twitter
-22.7,-45.1,40,Twitter
-22.7,-46.8,22,Twitter
-22.7,-47,5,Twitter
-22.7,-47.3,271,Twitter
-22.7,-47.4,1,Twitter
-22.7,-47.6,198,Twitter
-22.7,-47.7,1,Twitter
-22.7,-50.4,57,Twitter
-22.7,14.5,1,Twitter
-22.7,14.6,4,Twitter
-22.8,-41.9,7,Twitter
-22.8,-42.1,1,Twitter
-22.8,-42.2,1,Twitter
-22.8,-43.1,4,Twitter
-22.8,-43.2,12,Twitter
-22.8,-43.3,46,Twitter
-22.8,-43.4,20,Twitter
-22.8,-43.5,1,Twitter
-22.8,-45.2,15,Twitter
-22.8,-46.1,1,Twitter
-22.8,-47.1,5,Twitter
-22.8,-47.2,2,Twitter
-22.8,-47.3,15,Twitter
