Latitude,Longitude,tab
37.0625,-95.677068,Mcdonalds
41.6908,-72.9219,Mcdonalds
42.021491,-87.957437,Mcdonalds
42.199039,-83.204588,Mcdonalds
41.245666,-111.970061,Mcdonalds
43.234049,-86.207001,Mcdonalds
39.269305,-76.501592,Mcdonalds
43.515876,-96.731028,Mcdonalds
42.026055,-87.814062,Mcdonalds
35.979655,-80.021331,Mcdonalds
39.011661,-95.687475,Mcdonalds
40.596755,-83.12931,Mcdonalds
42.971238,-82.452403,Mcdonalds
39.021995,-84.586141,Mcdonalds
42.097317,-79.292102,Mcdonalds
42.11309137,-88.25888157,Mcdonalds
39.79801,-84.252993,Mcdonalds
42.139635,-87.911229,Mcdonalds
45.486477,-122.774356,Mcdonalds
41.789167,-87.70336,Mcdonalds
43.090122,-78.968336,Mcdonalds
33.899149,-84.278476,Mcdonalds
41.642636,-81.469021,Mcdonalds
33.872714,-118.392984,Mcdonalds
37.651419,-97.352785,Mcdonalds
42.495059,-83.027632,Mcdonalds
42.918379,-78.754043,Mcdonalds
37.240661,-93.303902,Mcdonalds
33.993311,-118.451211,Mcdonalds
42.115105,-72.622626,Mcdonalds
43.034702,-83.512527,Mcdonalds
32.790805,-83.669856,Mcdonalds
41.677916,-83.622576,Mcdonalds
35.137082,-106.641416,Mcdonalds
41.440042,-81.724872,Mcdonalds
36.016394,-78.889965,Mcdonalds
44.9761,-93.043,Mcdonalds
42.248193,-71.825616,Mcdonalds
42.102882,-80.147443,Mcdonalds
37.525355,-122.281894,Mcdonalds
41.107809,-81.567652,Mcdonalds
38.30883,-85.769708,Mcdonalds
45.49766,-122.636333,Mcdonalds
42.7563,-87.7998,Mcdonalds
42.253738,-83.1938,Mcdonalds
35.950782,-83.914205,Mcdonalds
38.5395,-90.0222,Mcdonalds
41.582589,-93.700387,Mcdonalds
39.396593,-76.566831,Mcdonalds
41.865545,-87.764153,Mcdonalds
38.272235,-104.617401,Mcdonalds
40.520784,-74.285413,Mcdonalds
36.525325,-82.520357,Mcdonalds
30.402698,-88.935481,Mcdonalds
38.05719,-97.931886,Mcdonalds
47.463065,-122.333769,Mcdonalds
41.687493,-87.680862,Mcdonalds
37.479315,-122.22365,Mcdonalds
39.740365,-105.120474,Mcdonalds
39.875784,-75.083603,Mcdonalds
39.885417,-104.994083,Mcdonalds
30.202407,-97.760401,Mcdonalds
45.497255,-122.569476,Mcdonalds
40.464813,-79.828888,Mcdonalds
38.78325,-90.355815,Mcdonalds
43.398503,-83.910855,Mcdonalds
39.740172,-104.98096,Mcdonalds
47.58236,-122.300217,Mcdonalds
33.831516,-118.302825,Mcdonalds
39.102331,-94.437239,Mcdonalds
39.923208,-83.773435,Mcdonalds
40.331817,-80.022868,Mcdonalds
38.896505,-77.126381,Mcdonalds
