fips_code,value
12086,"1,049,455"
12087,"39,519"
12089,"24,392"
12091,"85,618"
12093,"16,297"
12095,"482,366"
12097,"96,548"
12099,"540,334"
12101,"156,145"
12103,"434,987"
12105,"221,630"
12107,"26,044"
12109,"63,161"
12111,"87,515"
12113,"56,523"
12115,"152,354"
12117,"181,668"
12119,"28,736"
12121,"14,152"
12123,"7,063"
12125,"5,685"
12127,"203,545"
12129,"9,496"
12131,"18,249"
12133,"8,585"
13001,"5,665"
13003,"2,740"
13005,"3,635"
13007,"1,200"
13009,"19,077"
13011,"5,208"
13013,"22,294"
13015,"34,199"
13017,"6,699"
13019,"6,018"
13021,"66,926"
13023,"3,685"
13025,"4,636"
13027,"6,102"
13029,"11,366"
13031,"29,177"
13033,"7,488"
13035,"9,257"
13037,"2,391"
13039,"24,005"
13043,"3,742"
13045,"40,563"
13047,"22,693"
13049,"3,654"
13051,"107,268"
13053,"11,525"
13055,"9,422"
13057,"67,398"
13059,"63,498"
13061,"1,225"
13063,"126,708"
13065,"2,689"
13067,"317,029"
13069,"15,664"
13071,"17,709"
13073,"38,812"
13075,"6,476"
13077,"42,982"
13079,"4,067"
13081,"8,511"
13083,"5,741"
13085,"7,420"
13087,"11,028"
13089,"348,145"
13091,"7,321"
13093,"4,551"
13095,"42,471"
13097,"41,914"
13099,"4,595"
13101,"1,475"
13103,"16,129"
13105,"7,103"
13107,"7,121"
13109,"4,812"
13111,"7,341"
13113,"41,910"
13115,"39,060"
13117,"52,846"
13119,"7,612"
13121,"434,190"
13123,"10,472"
13125,957
13127,"30,085"
13129,"19,302"
13131,"9,569"
13133,"5,858"
13135,"315,846"
13137,"15,025"
13139,"66,898"
13141,"2,763"
13143,"9,936"
13145,"9,799"
13147,"8,339"
13149,"3,798"
13151,"60,178"
13153,"54,340"
13155,"3,178"
13157,"19,072"
13159,"4,645"
13161,"4,619"
13163,"5,527"
13165,"3,068"
13167,"2,387"
13169,"8,083"
13171,"6,369"
13173,"3,202"
13175,"17,130"
