lat,lon,checkins
41.0,12.0,15
51.0,-1.0,64
47.0,8.0,12
18.0,-67.0,6
49.0,0.0,9
30.0,-98.0,13
40.0,-84.0,1
38.0,-78.0,6
39.0,-76.0,4
-35.0,-59.0,7
43.0,11.0,7
33.0,-85.0,1
42.0,12.0,2
40.0,-75.0,277
42.0,11.0,2
40.0,-74.0,380
40.0,-73.0,80
37.0,-123.0,35
48.0,2.0,26
43.0,-80.0,5
41.0,-73.0,5
39.0,-107.0,13
25.0,-81.0,9
41.0,-72.0,7
49.0,-1.0,5
33.0,-119.0,2
39.0,-105.0,4
44.0,-74.0,2
29.0,-98.0,1
