can_province,value
Newfoundland and Labrador,"508.9"
Prince Edward Island,"141.0"
Nova Scotia,"938.2"
New Brunswick,"749.5"
Quebec,"7,828.9"
Ontario,"13,069.2"
Manitoba,"1,222.0"
Saskatchewan,"1,030.1"
Alberta,"3,687.7"
British Columbia,"4,455.2"
Yukon,"33.7"
Northwest Territories,"43.4"
Nunavut,"32.2"
