uk_council,value,tooltip,,,,
West Sussex County Council,781600,"West Sussex County Council - 782,000",,,,
Weymouth and Portland Borough Council,65000,"Weymouth and Portland Borough Council - 65,000",,,,
Wigan Metropolitan Borough,306800,"Wigan Metropolitan Borough - 307,000",,,,
Wiltshire Council,455500,"Wiltshire Council - 456,000",,,,
Winchester City Council,112700,"Winchester City Council - 113,000",,,,
Wirral Metropolitan Borough,309500,"Wirral Metropolitan Borough - 310,000",,,,
Woking Borough Council,92200,"Woking Borough Council - 92,000",,,,
Wokingham Council,159100,"Wokingham Council - 159,000",,,,
Wolverhampton City Council,236400,"Wolverhampton City Council - 236,000",,,,
Worcester City Council,94100,"Worcester City Council - 94,000",,,,
Worcestershire County Council,557600,"Worcestershire County Council - 558,000",,,,
Worthing Borough Council,100200,"Worthing Borough Council - 100,000",,,,
Wrexham County Borough Council,132900,"Wrexham County Borough Council - 133,000",,,,
Wychavon District Council,117300,"Wychavon District Council - 117,000",,,,
Wycombe District Council,161500,"Wycombe District Council - 162,000",,,,
Wyre Borough Council,110900,"Wyre Borough Council - 111,000",,,,
Wyre Forest District Council,98700,"Wyre Forest District Council - 99,000",,,,
