uk_council,value,tooltip,,,,
Crawley Borough Council,101300,"Crawley Borough Council - 101,000",,,,
Cumbria County Council,496600,"Cumbria County Council - 497,000",,,,
Dacorum Borough Council,139600,"Dacorum Borough Council - 140,000",,,,
Darlington Borough Council,100500,"Darlington Borough Council - 101,000",,,,
Dartford Borough Council,92000,"Dartford Borough Council - 92,000",,,,
Daventry District Council,79700,"Daventry District Council - 80,000",,,,
Denbighshire Council,97600,"Denbighshire Council - 98,000",,,,
Derby City Council,239200,"Derby City Council - 239,000",,,,
Derbyshire County Council,1001500,"Derbyshire County Council - 1,002,000",,,,
Derbyshire Dales,70700,"Derbyshire Dales - 71,000",,,,
Derry &#0040;City of Londonderry&#0041;,109100,"Derry &#0040;City of Londonderry&#0041; - 109,000",,,,
Devon County Council,n,,,,,
Doncaster Metropolitan Borough Council,291600,"Doncaster Metropolitan Borough Council - 292,000",,,,
Dorset County Council,710500,"Dorset County Council - 711,000",,,,
Dover District Council,106900,"Dover District Council - 107,000",,,,
Down District Council,69800,"Down District Council - 70,000",,,,
Dudley Metropolitan Borough,306500,"Dudley Metropolitan Borough - 307,000",,,,
Dumfries and Galloway Council,148600,"Dumfries and Galloway Council - 149,000",,,,
Dundee City Council,142500,"Dundee City Council - 143,000",,,,
Dungannon District Council,55400,"Dungannon District Council - 55,000",,,,
Durham County Council,508500,"Durham County Council - 509,000",,,,
East Ayrshire Council,119900,"East Ayrshire Council - 120,000",,,,
East Cambridgeshire,82300,"East Cambridgeshire - 82,000",,,,
East Devon,132700,"East Devon - 133,000",,,,
East Dorset District Council,85900,"East Dorset District Council - 86,000",,,,
East Dunbartonshire Council,104700,"East Dunbartonshire Council - 105,000",,,,
East Hampshire District Council,111700,"East Hampshire District Council - 112,000",,,,
East Hertfordshire,135500,"East Hertfordshire - 136,000",,,,
East Lindsey District Council,141000,"East Lindsey District Council - 141,000",,,,
East Lothian Council,96100,"East Lothian Council - 96,000",,,,
East Northamptonshire Council,86200,"East Northamptonshire Council - 86,000",,,,
East Renfrewshire Council,89200,"East Renfrewshire Council - 89,000",,,,
East Riding of Yorkshire Council,335000,"East Riding of Yorkshire Council - 335,000",,,,
East Staffordshire Borough Council,109100,"East Staffordshire Borough Council - 109,000",,,,
East Sussex County Council,n,,,,,
Eastbourne Council,96100,"Eastbourne Council - 96,000",,,,
Eastleigh Borough Council,121000,"Eastleigh Borough Council - 121,000",,,,
Eden District Council,51900,"Eden District Council - 52,000",,,,
Elmbridge Borough Council,132400,"Elmbridge Borough Council - 132,000",,,,
Epping Forest District Council,123900,"Epping Forest District Council - 124,000",,,,
Epsom and Ewell Borough Council,72400,"Epsom and Ewell Borough Council - 72,000",,,,
Erewash Borough,111300,"Erewash Borough - 111,000",,,,
Essex County Council,1712200,"Essex County Council - 1,712,000",,,,
Exeter City,123500,"Exeter City - 124,000",,,,
Falkirk District Council,151600,"Falkirk District Council - 152,000",,,,
Fareham Borough Council,110300,"Fareham Borough Council - 110,000",,,,
Fenland District Council,91800,"Fenland District Council - 92,000",,,,
Fermanagh Council,62000,"Fermanagh Council - 62,000",,,,
Fife Council,361900,"Fife Council - 362,000",,,,
Flintshire County Council,151000,"Flintshire County Council - 151,000",,,,
Forest Heath District Council,64700,"Forest Heath District Council - 65,000",,,,
