latitude,longitude,price,square feet,value
40.009267,-105.19957,399900,2520,158.690476190476
39.996711,-105.255454,349900,960,364.479166666667
39.986666,-105.229222,216000,948,227.848101265823
40.026615,-105.25242,113039,644,175.526397515528
40.047028,-105.245721,752000,3875,194.064516129032
40.046181,-105.319527,675000,3058,220.732504905167
40.044468,-105.286424,597500,1920,311.197916666667
40.051592,-105.254968,555000,2738,202.702702702703
39.975548,-105.264331,505000,1834,275.354416575791
40.046232,-105.384305,489000,4025,121.490683229814
40.03624,-105.240264,449000,2357,190.496393720832
40.031532,-105.272018,400000,2100,190.47619047619
40.006212,-105.242496,225000,1056,213.068181818182
39.996704,-105.229826,192500,1112,173.111510791367
40.000114,-105.221682,173000,888,194.81981981982
40.059654,-105.212268,169950,800,212.4375
40.010313,-105.253939,163000,663,245.852187028658
40.064223,-105.195595,156200,961,162.539021852237
39.995697,-105.274164,1891000,6228,303.628773281952
39.982555,-105.194023,1250000,4576,273.164335664336
40.004369,-105.279911,1180000,4277,275.89431844751
40.000331,-105.28111,650000,2800,232.142857142857
39.995627,-105.239205,645000,2016,319.940476190476
40.068247,-105.187362,625000,4101,152.401853206535
40.0212,-105.286203,607500,1796,338.251670378619
40.010086,-105.230813,550000,3006,182.967398536261
40.014703,-105.248247,529900,1613,328.518288902666
40.057879,-105.218844,518000,3816,135.744234800839
40.017975,-105.273757,489000,1395,350.537634408602
40.014703,-105.248247,469900,1434,327.68479776848
40.012401,-105.235862,458000,2812,162.873399715505
39.996562,-105.255598,436000,1382,315.48480463097
39.994635,-105.229932,432000,2244,192.513368983957
40.043687,-105.273087,425000,2415,175.983436853002
39.988054,-105.224269,420000,2039,205.983325159392
40.002023,-105.236513,410000,2001,204.897551224388
39.991166,-105.253976,389000,1040,374.038461538462
40.033925,-105.240756,355000,1441,246.356696738376
40.007199,-105.25742,352000,1280,275
40.02179,-105.404329,350000,1978,176.946410515672
40.000799,-105.245172,336000,1080,311.111111111111
40.055744,-105.203007,323000,1260,256.349206349206
40.010315,-105.254439,316000,1219,259.228876127974
40.062208,-105.195326,305500,2037,149.975454099165
40.007199,-105.257085,265000,814,325.552825552826
40.03112,-105.253962,255000,1402,181.88302425107
40.014703,-105.248247,254900,897,284.169453734671
39.998296,-105.229335,243000,954,254.716981132075
40.035201,-105.24657,198900,1178,168.845500848896
39.999459,-105.229483,179000,880,203.409090909091
40.019196,-105.263066,169250,801,211.298377028714
40.059169,-105.214652,156500,887,176.437429537768
40.049747,-105.220826,143350,737,194.504748982361
40.062771,-105.195397,140843,738,190.844173441734
40.033754,-105.253133,140000,1044,134.099616858238
