value,address
   1,"142 SPEEDWELL AVE LOT MORRISTOWN TOWN, NJ"
   2,"142 SPEEDWELL AVENUE MORRISTOWN TOWN, NJ"
   2,"147 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"147 SPEEDWELL AVENUE MORRISTOWN TOWN, NJ"
   1,"149 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"15 MOUNT KEMBLE AVE MORRISTOWN TOWN, NJ"
   1,"15 MOUNT KEMBLE MORRISTOWN TOWN, NJ"
   2,"15 ROSEMILT PL MORRISTOWN TOWN, NJ"
   4,"150 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   4,"151 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"151 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"152 EARLY ST MORRISTOWN TOWN, NJ"
   2,"152 MORRIS ST MORRISTOWN TOWN, NJ"
   2,"153 WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"154 B WASHINGTON ST MORRISTOWN TOWN, NJ"
   3,"157 MORRIS ST MORRISTOWN TOWN, NJ"
   1,"160 MADISON AVE MORRISTOWN TOWN, NJ"
   2,"161 MADISON AVE and PNC BANK LOT MORRISTOWN TOWN, NJ"
   2,"161 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"163 MADISON AVE MORRISTOWN TOWN, NJ"
   5,"164 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   5,"165 MORRIS ST MORRISTOWN TOWN, NJ"
   1,"165 PHOENIX AVE MORRISTOWN TOWN, NJ"
   2,"168 MORRIS AVE MORRISTOWN TOWN, NJ"
   3,"168 MORRIS ST MORRISTOWN TOWN, NJ"
   4,"173 WASHINGTON ST MORRISTOWN TOWN, NJ"
   5,"175 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"175 SOUTH ST MOUNT OLIVE TWP, NJ"
   1,"18 BANK ST MORRISTOWN TOWN, NJ"
   2,"18 CATTANO AVE MORRISTOWN TOWN, NJ"
   2,"18 CATTANO AVE PARKING LOT MORRISTOWN TOWN, NJ"
  21,"182 SOUTH ST MORRISTOWN TOWN, NJ"
   1,"182 SOUTH STREET MORRISTOWN TOWN, NJ"
   2,"182 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"186 SPEEDWELL AVE and HENRY ST. MORRISTOWN TOWN, NJ"
