value,address
   2,"ENTRANCE MPA LOT 10 J and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"ENTRANCE TO PARKING LOT 10? and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"FARMHOUSE LANE and RT 202 MORRISTOWN TOWN, NJ"
   2,"FARMHOUSE LN and US 202 MORRISTOWN TOWN, NJ"
   2,"FARRAGUT PL and OGDELI PL MORRISTOWN TOWN, NJ"
   2,"FLAGLER ST and CLYDE POTS DR MORRISTOWN TOWN, NJ"
   1,"FLAGLER ST and CLYDE POTTS DR MORRISTOWN TOWN, NJ"
   4,"FLAGLER ST and CLYDE POTTS DR. MORRISTOWN TOWN, NJ"
   1,"FLAGLER ST and CLYDE POTTS DRIVE MORRISTOWN TOWN, NJ"
   2,"FLAGLER ST and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   2,"FLAGLER ST and NICHOLAS ROAD MORRISTOWN TOWN, NJ"
   8,"FLAGLER ST and US 202 MORRISTOWN TOWN, NJ"
   2,"FLAGLER STREET and CLYDE POTTS DR MORRISTOWN TOWN, NJ"
   3,"FLAGLER STREET and NICHOLAS AVE MORRISTOWN TOWN, NJ"
   1,"FLAGLER STREET and US 202 MORRISTOWN TOWN, NJ"
   2,"FORD AVE and HILL ST MORRISTOWN TOWN, NJ"
   1,"FORD AVENUE and FRANKLIN STREET MORRISTOWN TOWN, NJ"
   2,"FORD AVENUE and HILL STREET MORRISTOWN TOWN, NJ"
   1,"FORD AVENUE and ROUTE 510/MORRIS STREET MORRISTOWN TOWN, NJ"
   2,"FRANKLIN PL and FRANKLIN ST MORRISTOWN TOWN, NJ"
   8,"FRANKLIN ST and DEKALB PL MORRISTOWN TOWN, NJ"
   2,"FRANKLIN ST and DEKALB PLACE MORRISTOWN TOWN, NJ"
   2,"FRANKLIN ST and ELM ST MORRISTOWN TOWN, NJ"
   2,"FRANKLIN ST and ELM ST. MORRISTOWN TOWN, NJ"
   3,"FRANKLIN ST and FORD AVE MORRISTOWN TOWN, NJ"
   4,"FRANKLIN ST and FRANKLIN PL MORRISTOWN TOWN, NJ"
   1,"FRANKLIN ST and GREEN HILL ROAD MORRISTOWN TOWN, NJ"
   1,"FRANKLIN ST and GREENHILL RD. MORRISTOWN TOWN, NJ"
   1,"FRANKLIN ST and MADDISON AVE. MORRISTOWN TOWN, NJ"
   8,"FRANKLIN ST and MELLON PL MORRISTOWN TOWN, NJ"
   8,"FRANKLIN ST and MELLON PLACE MORRISTOWN TOWN, NJ"
   2,"FRANKLIN ST and MELON PL MORRISTOWN TOWN, NJ"
   6,"FRANKLIN ST and RANDOLPH DR MORRISTOWN TOWN, NJ"
   1,"FRANKLIN ST and REVERE ROAD MORRISTOWN TOWN, NJ"
   4,"FRANKLIN ST and SHADY LANE MORRISTOWN TOWN, NJ"
   2,"FRANKLIN ST and TODD PL MORRISTOWN TOWN, NJ"
   2,"GAGNON DR and MADISON AVE MORRISTOWN TOWN, NJ"
   2,"GAGNON DR and NJ 124 MORRISTOWN TOWN, NJ"
   2,"GAGNON DRIVE and MADISON AVENUE MORRISTOWN TOWN, NJ"
   2,"GAGNON DRIVE and WILLIAMS AVE MORRISTOWN TOWN, NJ"
   1,"GAGNON PARKING DECK MORRISTOWN TOWN, NJ"
   2,"GAGNON WAY and FRANKLIN ST. MORRISTOWN TOWN, NJ"
   1,"GALLAGHER ROAD and CONKLIN AVE MORRISTOWN TOWN, NJ"
   5,"GARDEN ST and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   7,"GARDEN ST and NEW ST MORRISTOWN TOWN, NJ"
   2,"GEORGIAN R and OLMSTEAD ROAD MORRISTOWN TOWN, NJ"
   2,"GEORGIAN ROAD and OLMSTEAD ROAD MORRISTOWN TOWN, NJ"
   1,"GRANT ST and BELLEVUE TER MORRISTOWN TOWN, NJ"
   2,"GRANT ST and BELLEVUE TERR. MORRISTOWN TOWN, NJ"
   2,"GRANT ST and CLEVELAND ST MORRISTOWN TOWN, NJ"
   2,"GRANT ST and HARRISON ST MORRISTOWN TOWN, NJ"
   2,"GRANT ST MORRISTOWN TOWN, NJ"
   1,"GRANT STREET and BELLEVUE TERRACE MORRISTOWN TOWN, NJ"
   2,"GREGORY TERRACE and CORY RD MORRISTOWN TOWN, NJ"
   2,"HARDING RD and MORRIS AVE MORRISTOWN TOWN, NJ"
   4,"HARRISON ST and EARLY ST MORRISTOWN TOWN, NJ"
   2,"HARRISON ST and GRANT ST. MORRISTOWN TOWN, NJ"
   2,"HARRISON ST and GRANT STREET MORRISTOWN TOWN, NJ"
   1,"HARRISON ST and MORTON ST MORRISTOWN TOWN, NJ"
   2,"HARRISON STREET and GRANT STREET MORRISTOWN TOWN, NJ"
   2,"HAZLETT ST and MILTON PL. MORRISTOWN TOWN, NJ"
   2,"HENRY ST and SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"HENRY STREET and US 202 MORRISTOWN TOWN, NJ"
   8,"HILL ST and ELM ST MORRISTOWN TOWN, NJ"
   4,"HILL ST and ELM ST. MORRISTOWN TOWN, NJ"
   2,"HILL ST and ELM STREET MORRISTOWN TOWN, NJ"
   5,"HILL ST and FORD AVE MORRISTOWN TOWN, NJ"
   3,"HILL ST and FRANKLIN PL MORRISTOWN TOWN, NJ"
   2,"HILL ST and FRANKLIN PLACE MORRISTOWN TOWN, NJ"
   2,"HILL ST and FRANKLIN PLACE PARSIPPANY-TROY HILLS, NJ"
   2,"HILL STREET and FRANKLIN PL MORRISTOWN TOWN, NJ"
   4,"HILL STREET and FRANKLIN PLACE MORRISTOWN TOWN, NJ"
   1,"HILLAIRY AVE and HILLAIRY CT MORRISTOWN TOWN, NJ"
   6,"HILLAIRY AVE and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   2,"HILLAIRY AVENUE MORRISTOWN TOWN, NJ"
   1,"HILLARY AVE and HILLARY CT MORRISTOWN TOWN, NJ"
   2,"HILLARY AVE and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   1,"HILLARY AVE MORRISTOWN TOWN, NJ"
   2,"HOWEL PL and VALLEY VIEW DR MORRISTOWN TOWN, NJ"
   4,"HOWELL PL and VALLEY VIEW DR MORRISTOWN TOWN, NJ"
   2,"I-287 and CR 510 MORRISTOWN TOWN, NJ"
   2,"I-287 and CR 601 / SOUTH ST MORRISTOWN TOWN, NJ"
   2,"I-287 and LAFAYETTE AVE MORRISTOWN TOWN, NJ"
   2,"I-287 and MORRIS COUNTY 510 MORRISTOWN TOWN, NJ"
   6,"I-287 and MORRIS COUNTY 601 MORRISTOWN TOWN, NJ"
  26,"I-287 and NJ 124 / MADISON AVE MORRISTOWN TOWN, NJ"
  28,"I-287 and NJ 124 MORRISTOWN TOWN, NJ"
   9,"I-287 and RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   6,"I-287 and ROUTE 510 / MORRIS AVE MORRISTOWN TOWN, NJ"
  12,"I-287 and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"I-287 and US 124 MORRISTOWN TOWN, NJ"
   1,"I-287 MORRIS TWP, NJ"
 395,"I-287 MORRISTOWN TOWN, NJ"
   2,"JACOB FORD VILLAGE PARKING LOT BLDG 18 MORRISTOWN TOWN, NJ"
   2,"JAMES ST and DOGWOOD RD. MORRISTOWN TOWN, NJ"
   2,"JAMES ST and GLENWOOD RD MORRISTOWN TOWN, NJ"
   2,"JAMES ST and MACCULLOGH AVE MORRISTOWN TOWN, NJ"
   2,"JAMES STREET and DOGWOOD ROAD MORRISTOWN TOWN, NJ"
   2,"KING ST and KING PL MORRISTOWN TOWN, NJ"
   2,"KING ST and KING PL. MORRISTOWN TOWN, NJ"
   2,"KING ST and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"LACKAWANA PLACE and MORRIS STREET MORRISTOWN TOWN, NJ"
   1,"LACKAWANNA PL and LAFFAYETTE AVE. MORRISTOWN TOWN, NJ"
   2,"LACKAWANNA PL and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"LACKAWANNA PL and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"LACKAWANNA PL and ROUTE 510Z MORRISTOWN TOWN, NJ"
   2,"LACKSWANNA PLACE MORRISTOWN TOWN, NJ"
   2,"LACKWANNA PL and SAWMILL PL MORRISTOWN TOWN, NJ"
   2,"LAFAYETTE AVE and LACKAWANNA PL. MORRISTOWN TOWN, NJ"
   2,"LAFAYETTE AVE and MALL LOT (#30) MORRISTOWN TOWN, NJ"
   5,"LAFAYETTE AVE and OLYPHANT DRIVE MORRISTOWN TOWN, NJ"
   4,"LAFAYETTE AVE and RIDGEDALE AVE MORRISTOWN TOWN, NJ"
   2,"LAFAYETTE AVE MORRISTOWN TOWN, NJ"
   2,"LAFAYETTE AVENUE and MORRIS STREET MORRISTOWN TOWN, NJ"
   2,"LAFFAYETTE AVE and WASHINGTON PLACE MORRISTOWN TOWN, NJ"
   2,"LAKE RD and JEROME AVE MORRISTOWN TOWN, NJ"
   1,"LAKE RD and JEROME DR. MORRISTOWN TOWN, NJ"
  11,"LAKE RD and WALKER AVE MORRISTOWN TOWN, NJ"
   2,"LAKESIDE PL and US 202 MORRISTOWN TOWN, NJ"
   2,"LAKESIDE PL MORRISTOWN TOWN, NJ"
   2,"LAKESIDE PLACE and US 202 MORRISTOWN TOWN, NJ"
   2,"LEGION PL and ABBETT AVE MORRISTOWN TOWN, NJ"
   2,"LEGION PL and ABBOTT AVE MORRISTOWN TOWN, NJ"
   2,"LINCOLN ST and GARFIELD ST MORRISTOWN TOWN, NJ"
   2,"LINCOLN ST and GEORGE ST MORRISTOWN TOWN, NJ"
   2,"LINCOLN STREET and ABBETT AVENUE MORRISTOWN TOWN, NJ"
   2,"LINDEN STREET and LIBERTY STREET MORRISTOWN TOWN, NJ"
   2,"LOGAN PL and POCAHONTAS ST MORRISTOWN TOWN, NJ"
   3,"LOGAN PL and US 202 MORRISTOWN TOWN, NJ"
   6,"LOT 10 J MORRISTOWN TOWN, NJ"
   2,"LOT 12 L BANK ST and ANN ST MOUNT OLIVE TWP, NJ"
   2,"LOT C OF 100 MADISON MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and CATHERINE LN MORRISTOWN TOWN, NJ"
   6,"MAC CULLOCH AVE and DEHART ST MORRISTOWN TOWN, NJ"
   1,"MAC CULLOCH AVE and MADISON ST MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and MILLER RD MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and MILLER RD. MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and MORRIS COUNTY 663 MORRISTOWN TOWN, NJ"
   4,"MAC CULLOCH AVE and OAK ST MORRISTOWN TOWN, NJ"
   8,"MAC CULLOCH AVE and PERRY ST MORRISTOWN TOWN, NJ"
   8,"MAC CULLOCH AVE and US 202 MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and WESTMORE AVE MORRISTOWN TOWN, NJ"
   4,"MAC CULLOCH AVE and WETMORE AVE MORRISTOWN TOWN, NJ"
   2,"MAC CULLOCH AVE and WETMORE AVENUE MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and CR 668 MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and DELTART STREET MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and MADISON ST MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and MADISON ST. MORRISTOWN TOWN, NJ"
   8,"MACCULLOCH AVE and MADISON STREET MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and MILLER RD MORRISTOWN TOWN, NJ"
   8,"MACCULLOCH AVE and MILLER ROAD MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and OAK ST. MORRISTOWN TOWN, NJ"
   2,"MACCULLOCH AVE and RT 202 MORRISTOWN TOWN, NJ"
   1,"MACCULLOCH AVE and WETMORE AVE. MORRISTOWN TOWN, NJ"
   2,"MADISON AVE MORRISTOWN TOWN, NJ"
   4,"MADISON ST and MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   2,"MADISON ST and MAPLE AVENUE MORRISTOWN TOWN, NJ"
   1,"MALCOLM ST and LAFAYETTE AVE MORRISTOWN TOWN, NJ"
   2,"MALCOLM ST and ROUTE 510 Z MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and CATHERINE LN MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and COMMUNITY PLACE MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and CR 663 MORRISTOWN TOWN, NJ"
  14,"MAPLE AVE and DEHART ST MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and DEHART ST. MORRISTOWN TOWN, NJ"
   6,"MAPLE AVE and MADISON ST MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and MADISON ST. MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and MADISON STREET MORRISTOWN TOWN, NJ"
   1,"MAPLE AVE and MARKET ST MORRISTOWN TOWN, NJ"
   4,"MAPLE AVE and MILLER RD MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and MILLER ROAD MORRISTOWN TOWN, NJ"
   6,"MAPLE AVE and OAK ST MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and PERRY ST MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE and US 202 MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"MAPLE AVE MPA LOT 1 and PARKING LOT MPA 1-A MORRISTOWN TOWN, NJ"
   2,"MARIAN PLACE and FREDRICK ST MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING and SPRING ST MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING and SPRING STREET MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and ABBET AVE MORRISTOWN TOWN, NJ"
  11,"MARTIN LUTHER KING AVE and ABBETT AVE MORRISTOWN TOWN, NJ"
   3,"MARTIN LUTHER KING AVE and COAL AVE MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and COAL AVE. MORRISTOWN TOWN, NJ"
   1,"MARTIN LUTHER KING AVE and COLE AVE MORRISTOWN TOWN, NJ"
   6,"MARTIN LUTHER KING AVE and FLAGLER ST MORRISTOWN TOWN, NJ"
   1,"MARTIN LUTHER KING AVE and FLAGLER ST. MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and GARDEN ST MORRISTOWN TOWN, NJ"
   7,"MARTIN LUTHER KING AVE and GEORGE ST MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and GEORGE STREET MORRISTOWN TOWN, NJ"
   4,"MARTIN LUTHER KING AVE and HAZEL ST MORRISTOWN TOWN, NJ"
   1,"MARTIN LUTHER KING AVE and HILLAIRY AVE MORRISTOWN TOWN, NJ"
   1,"MARTIN LUTHER KING AVE and HILLAIRY AVE. MORRISTOWN TOWN, NJ"
   4,"MARTIN LUTHER KING AVE and LINDEN ST MORRISTOWN TOWN, NJ"
   3,"MARTIN LUTHER KING AVE and MONROE ST MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and MONROE ST. MORRIS TWP, NJ"
   2,"MARTIN LUTHER KING AVE and MONROE STREET MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and MT AIRY PL MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and MT AIRY PLACE MORRISTOWN TOWN, NJ"
  10,"MARTIN LUTHER KING AVE and SPRING ST MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and SPRING ST. MORRISTOWN TOWN, NJ"
   2,"MARTIN LUTHER KING AVE and SPRING STREET MORRISTOWN TOWN, NJ"
   8,"MARTIN LUTHER KING AVE and WILLOW ST MORRISTOWN TOWN, NJ"
   3,"MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   2,"MDA LOT 10 J and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"MELLON PL and FRANKLIN ST MORRISTOWN TOWN, NJ"
   6,"MELLON PL and FRANKLIN STREET MORRISTOWN TOWN, NJ"
   2,"MELLOW PL and FRANKLIN ST MORRISTOWN TOWN, NJ"
   2,"MILLER RD and MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   7,"MILLER RD and MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"MILLER RD and NJ 124 MORRISTOWN TOWN, NJ"
   2,"MILLER ST and WESTERN AVE MORRISTOWN TOWN, NJ"
   2,"MILLER STREET and PHOENIX AVE MORRISTOWN TOWN, NJ"
   2,"MILLS ST and CR 510 MORRISTOWN TOWN, NJ"
   2,"MILLS ST and CR 617 MORRISTOWN TOWN, NJ"
   5,"MILLS ST and EARLY ST MORRISTOWN TOWN, NJ"
   6,"MILLS ST and EARLY STREET MORRISTOWN TOWN, NJ"
   1,"MILLS ST and HAZLETT ST. MORRISTOWN TOWN, NJ"
   6,"MILLS ST and KENMUIR AVE MORRISTOWN TOWN, NJ"
   2,"MILLS ST and KENMUIR AVENUE MORRISTOWN TOWN, NJ"
   2,"MILLS ST and MORRIS COUNTY 617 MORRISTOWN TOWN, NJ"
   4,"MILLS ST and NJ 24 MORRISTOWN TOWN, NJ"
   6,"MILLS ST and ROUTE 510 MORRISTOWN TOWN, NJ"
   2,"MILLS ST and SHERMAN PLACE MORRISTOWN TOWN, NJ"
   3,"MILLS ST and TUXEDO PL MORRISTOWN TOWN, NJ"
   2,"MILLS ST and TUXEDO PLACE MORRISTOWN TOWN, NJ"
   2,"MILLS ST and WALKER AVE. MORRISTOWN TOWN, NJ"
   1,"MILLS ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and ACCESS RD MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and COMMUNITY PL MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and COMMUNITY PL. MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and CONTINENTAL AVE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and ELM ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and HAMILTON ROAD MORRISTOWN TOWN, NJ"
   4,"MORRIS COUNTY 601 and HEADLEY RD. MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and HEADLEY ROAD MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and HEADLY RD MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 601 and I 287 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and KINGS DRIVEWAY MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 601 and KINGS LOT EXIT MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and MILLER RD MORRISTOWN TOWN, NJ"
   7,"MORRIS COUNTY 601 and NJ 124 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and PINE ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and ROUTE 124 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and SERVICE RD MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and SOUTH PARK PLACE MORRISTOWN TOWN, NJ"
  12,"MORRIS COUNTY 601 and WOODLAND AVE MORRISTOWN TOWN, NJ"
   4,"MORRIS COUNTY 601 and WOODLAND AVENUE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 601 and WOODLAND RD MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 601 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and CLEVELAND ST. MORRISTOWN TOWN, NJ"
   3,"MORRIS COUNTY 617 and CLEVELAND STREET MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and COLUMBA ST. MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and COLUMBA STREET MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and CUTLER ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and ELLIOT ST MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 617 and ELLIOT ST. MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 617 and ELLIOTT ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and GASTON RD. MORRIS TWP, NJ"
   6,"MORRIS COUNTY 617 and GRANT ST MORRISTOWN TOWN, NJ"
  10,"MORRIS COUNTY 617 and HENRY ST MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and HENRY ST. MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and HENRY STREET MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and LAKE RD MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 617 and LAKE RD. MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and LAKE ROAD MORRISTOWN TOWN, NJ"
   9,"MORRIS COUNTY 617 and MILLS ST MORRISTOWN TOWN, NJ"
   9,"MORRIS COUNTY 617 and MILLS STREET MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and RALPH PL MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and SPEEDWELL PLACE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 617 and TUXEDO PL MORRISTOWN TOWN, NJ"
  14,"MORRIS COUNTY 617 and US 202 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 648 and ANN ST MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 648 and WASHINGTON STREET MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 648 MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and BELL DRIVE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and COLLINS DRIVE MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 663 and CR 124 MORRISTOWN TOWN, NJ"
   3,"MORRIS COUNTY 663 and DOGWOOD RD MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and DOGWOOD ROAD MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 663 and ERSKINE DRIVE MORRISTOWN TOWN, NJ"
   4,"MORRIS COUNTY 663 and GLENWOOD RD MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and MACCOLLOCH AVE MORRISTOWN TOWN, NJ"
   3,"MORRIS COUNTY 663 and MACCULLOCH AVE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"MORRIS COUNTY 663 and MCCULLOCH AVE MORRISTOWN TOWN, NJ"
   1,"MORRIS COUNTY 663 and OGDEN PL MORRISTOWN TOWN, NJ"
   2,"MORRIS ST and ELM ST MORRISTOWN TOWN, NJ"
   2,"MORRIS ST and FORD AVE. MORRISTOWN TOWN, NJ"
   2,"MORRIS ST and WATER ST MORRISTOWN TOWN, NJ"
   1,"MORRIS ST TRAIN STATION MORRISTOWN TOWN, NJ"
   2,"MORRISTOWN AIRPORT MORRISTOWN TOWN, NJ"
   2,"MORRISTOWN HOSPITAL VISITOR PARKING UPPER DECK MORRISTOWN TOWN, NJ"
   2,"MORRISTOWN MEMORIAL and W.A.M.M.H PARKING LOT MORRISTOWN TOWN, NJ"
   2,"MORRISTOWN MUN PARKING LOT MORRISTOWN TOWN, NJ"
   2,"MORTON ST and HARRISON ST MORRISTOWN TOWN, NJ"
   1,"MOUNTY AIRY PL and MARTIN LUTHER KING AVE MORRISTOWN TOWN, NJ"
   2,"MPA LETLE MORRISTOWN TOWN, NJ"
   2,"MPA LOT 1 A MAPLE AVE MORRISTOWN TOWN, NJ"
   2,"MPA LOT 10 and MORRI ST MORRISTOWN TOWN, NJ"
   2,"MPA LOT 10 and MORRIS ST MORRISTOWN TOWN, NJ"
   4,"MPA LOT 10 J and MORRIS ST MORRISTOWN TOWN, NJ"
   7,"MPA LOT 10 J MORRISTOWN TOWN, NJ"
   2,"MPA LOT 10 MORRISTOWN TOWN, NJ"
   2,"MPA LOT 12 L MORRISTOWN TOWN, NJ"
   2,"MPA LOT 12 MORRISTOWN TOWN, NJ"
   2,"MPA LOT 15 SPEEDWELL AVE MORRISTOWN TOWN, NJ"
   2,"MPA LOT 6 MORRISTOWN TOWN, NJ"
   2,"MPA LOT and MORRIS ST MORRISTOWN TOWN, NJ"
   2,"MPA MALL LOT and CATTANO AVE MORRISTOWN TOWN, NJ"
   2,"MPA PARKING LOT #6 MORRISTOWN TOWN, NJ"
   2,"MPA PARKING LOT 10 and MORRIS ST. MORRISTOWN TOWN, NJ"
   4,"MPA PARKING LOT 10 J MORRISTOWN TOWN, NJ"
   2,"MPA PARKING LOT 101 MORRISTOWN TOWN, NJ"
   2,"MPA PARKING LOT and MORRIS ST. MORRISTOWN TOWN, NJ"
   2,"MPALOT 10 J MORRISTOWN TOWN, NJ"
   5,"MUNICIPAL LOT #6 MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL LOT 1 MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL LOT 10 J and MORRIS ST. MORRISTOWN TOWN, NJ"
   5,"MUNICIPAL LOT 10 J MORRISTOWN TOWN, NJ"
   4,"MUNICIPAL LOT 12 MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL LOT 15 MORRISTOWN TOWN, NJ"
   3,"MUNICIPAL LOT 8 H MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL PARKING LOT #6 MORRISTOWN TOWN, NJ"
   4,"MUNICIPAL PARKING LOT 10 J MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL PARKING LOT 12 L MORRISTOWN TOWN, NJ"
   3,"MUNICIPAL PARKING LOT 6 MORRISTOWN TOWN, NJ"
   2,"MUNICIPAL PARKING LOT L 0 J MORRISTOWN TOWN, NJ"
   2,"N PARK PL and E.PARK PL MORRISTOWN TOWN, NJ"
   1,"N. PARK PLACE and WASHINGTON ST MORRISTOWN TOWN, NJ"
   2,"NJ 124 and 1 287 MORRISTOWN TOWN, NJ"
   2,"NJ 124 and 287 SB ENTRANCE RAMP MORRISTOWN TOWN, NJ"
   4,"NJ 124 and ACCESS ROAD MORRISTOWN TOWN, NJ"
   2,"NJ 124 and ACCESS-RD MORRISTOWN TOWN, NJ"
   2,"NJ 124 and BURNHAM PARKWAY MORRIS TWP, NJ"
   2,"NJ 124 and BURNHAM PARKWAY MORRISTOWN TOWN, NJ"
   2,"NJ 124 and CATTANO AVENUE MORRISTOWN TOWN, NJ"
  10,"NJ 124 and COMMUNITY PL MORRISTOWN TOWN, NJ"
   2,"NJ 124 and COMMUNITY PLACE MORRISTOWN TOWN, NJ"
   1,"NJ 124 and CONKLIN AVE MORRISTOWN TOWN, NJ"
   2,"NJ 124 and CONTINENTAL AVE MORRISTOWN TOWN, NJ"
  21,"NJ 124 and CR 601 / MADISON AVE MORRISTOWN TOWN, NJ"
   4,"NJ 124 and CR 601 MORRISTOWN TOWN, NJ"
  33,"NJ 124 and CR 663 / JAMES ST MORRISTOWN TOWN, NJ"
   4,"NJ 124 and CR 663 / JAMES STREET MORRISTOWN TOWN, NJ"
   2,"NJ 124 and DE HART ST MORRISTOWN TOWN, NJ"
  15,"NJ 124 and DEHART ST MORRISTOWN TOWN, NJ"
   6,"NJ 124 and DEHART ST. MORRISTOWN TOWN, NJ"
   2,"NJ 124 and DEHART STREET MORRISTOWN TOWN, NJ"
   2,"NJ 124 and DRIVEWAY TB BANK MORRISTOWN TOWN, NJ"
  25,"NJ 124 and ELM ST MORRISTOWN TOWN, NJ"
