latitude,longitude,price,square feet,value,tab
40.007291,-105.244741,365000,1476,247.289972899729,May
40.02553,-105.27246,199700,910,219.450549450549,May
40.005945,-105.250177,182000,1102,165.154264972777,May
40.043072,-105.250827,781400,4009,194.911449239212,May
40.003153,-105.281927,605000,1760,343.75,May
39.98899,-105.266194,520000,2430,213.991769547325,May
40.062925,-105.180442,307000,1626,188.806888068881,May
39.979424,-105.236795,255000,1115,228.699551569507,May
40.018443,-105.290891,872030,1884,462.86093418259,May
39.95842,-105.233075,615000,2744,224.125364431487,May
40.060824,-105.179283,469000,4005,117.103620474407,May
40.0008,-105.243735,425000,2208,192.481884057971,May
40.036441,-105.251575,195000,1242,157.004830917874,May
40.007257,-105.249619,192500,1008,190.972222222222,May
40.020034,-105.274762,1300000,2294,566.695727986051,May
39.990528,-105.22757,580000,2895,200.345423143351,May
40.001504,-105.243463,420000,1788,234.89932885906,May
40.009441,-105.238407,365000,1430,255.244755244755,May
40.057082,-105.204251,290000,1273,227.808326787117,May
40.014694,-105.247766,289900,914,317.177242888403,May
40.005951,-105.251537,104500,570,183.333333333333,May
40.033069,-105.284463,1290000,3757,343.359063082246,May
40.017975,-105.273757,1280000,2132,600.375234521576,May
40.059753,-105.16998,353000,2261,156.125608137992,May
40.061007,-105.210587,149900,904,165.818584070796,May
40.031261,-105.276513,937750,3065,305.954323001631,May
40.024229,-105.271127,630000,2144,293.84328358209,May
39.998177,-105.264413,580000,2605,222.648752399232,May
39.9842,-105.262759,985000,3379,291.506362829239,May
40.060054,-105.245721,685000,2260,303.097345132743,May
40.041665,-105.24956,449900,2492,180.53772070626,May
40.007103,-105.258105,255000,814,313.267813267813,May
40.007199,-105.257085,355000,1280,277.34375,May
40.014703,-105.248247,249900,889,281.102362204724,May
40.001288,-105.22409,186500,728,256.181318681319,June
39.960055,-105.222827,4450000,8000,556.25,June
40.015509,-105.281341,1200000,1447,829.30200414651,June
40.027696,-105.317685,842900,4273,197.261876901474,June
40.018116,-105.273681,699000,1424,490.870786516854,June
40.053873,-105.251739,692000,3752,184.434968017058,June
40.050036,-105.265559,679500,2045,332.273838630807,June
40.01896,-105.146048,620000,3668,169.029443838604,June
40.018116,-105.273681,565000,1316,429.331306990881,June
40.03417,-105.286403,467500,2468,189.424635332253,June
39.976586,-105.239143,415500,2300,180.652173913043,June
39.993184,-105.257353,330000,1512,218.253968253968,June
40.037676,-105.26088,300000,1138,263.620386643234,June
39.976412,-105.26366,293000,1585,184.858044164038,June
39.966601,-105.252021,287500,1064,270.206766917293,June
40.010237,-105.352626,260000,2226,116.801437556155,June
40.007199,-105.257085,210000,624,336.538461538462,June
40.04009,-105.258296,185000,888,208.333333333333,June
40.019196,-105.263066,179000,682,262.463343108504,June
40.010801,-105.277214,165000,445,370.786516853933,June
40.003719,-105.257815,163000,1216,134.046052631579,June
40.06679,-105.180191,159000,1184,134.290540540541,June
40.037356,-105.262514,155150,748,207.419786096257,June
40.041593,-105.2496,154200,1069,144.246959775491,June
40.027029,-105.287936,737500,2112,349.195075757576,June
40.046048,-105.2732,575000,2046,281.036168132942,June
39.986218,-105.170703,500000,3862,129.466597617815,June
40.01295,-105.293352,460000,1332,345.345345345345,June
39.987934,-105.249081,449500,2304,195.095486111111,June
39.976779,-105.240307,431500,1852,232.991360691145,June
40.007199,-105.25742,370000,1280,289.0625,June
40.004688,-105.247404,335000,924,362.554112554113,June
40.031644,-105.26038,293000,1962,149.337410805301,June
40.007199,-105.25675,235000,792,296.717171717172,June
39.99752,-105.229329,199000,1152,172.743055555556,June
40.042798,-105.259156,128000,592,216.216216216216,June
40.024955,-105.261282,532000,2080,255.769230769231,June
40.000114,-105.221682,487000,3570,136.414565826331,June
39.989792,-105.246993,400000,1402,285.306704707561,June
40.048479,-105.249499,668000,3573,186.957738595018,June
39.978351,-105.245163,463000,2548,181.71114599686,June
40.043683,-105.277676,343000,986,347.870182555781,June
40.010767,-105.262966,123000,762,161.417322834646,June
39.985881,-105.258569,675000,2358,286.259541984733,June
40.025519,-105.273579,375000,1544,242.875647668394,June
40.02675,-105.281906,344609,821,419.74299634592,June
40.057113,-105.204095,275000,1500,183.333333333333,June
40.017352,-105.265739,203000,1059,191.690273843248,June
40.031976,-105.286776,1460000,4889,298.629576600532,June
40.011914,-105.227931,714000,4725,151.111111111111,June
40.035315,-105.262547,560000,2756,203.193033381713,June
40.010289,-105.238357,530000,3057,173.372587504089,June
40.035081,-105.263213,504000,1731,291.161178509532,June
40.020599,-105.271984,467000,1251,373.30135891287,June
40.02675,-105.281906,404000,792,510.10101010101,June
39.980076,-105.239296,372000,1642,226.552984165652,June
39.996865,-105.256474,360000,1584,227.272727272727,June
40.051023,-105.220856,351452,2193,160.260829913361,June
40.066082,-105.185401,325000,3272,99.3276283618582,June
40.031044,-105.262608,315000,1570,200.636942675159,June
