Name,Latitude,Longitude,Lines
Hatton Cross ,51.466988,-0.423035,Piccadilly
Heathrow Terminals 1-2-3 ,51.4712899,-0.4527438,Piccadilly
Heathrow Terminal 4 ,51.4594777,-0.44689658,Piccadilly
Hendon Central ,51.58346,-0.22653,Northern
High Barnet ,51.6506519031751,-0.194138165994553,Northern
High Street Kensington ,51.5003459144,-0.192351664,"Circle,District "
Highbury & Islington ,51.54502,-0.10752,"London Overground,Victoria,Northern City"
Highgate ,51.57722,-0.14553,Northern 
Hillingdon ,51.55364,-0.45062,"Metropolitan,Piccadilly"
Holborn ,51.51711,-0.12055,"Central,Piccadilly "
Holland Park ,51.50722,-0.20553,Central
Holloway Road ,51.5529,-0.11278,Piccadilly
Homerton ,51.5471,-0.04323,
Hornchurch ,51.55387,+0.21797 ,District
Hounslow Central ,51.47129,-0.365853,Piccadilly
Hounslow East ,51.47354,-0.356,Piccadilly
Hounslow West ,51.473689,-0.386471,Piccadilly
Hyde Park Corner ,51.50313,-0.15278,Piccadilly
Ickenham ,51.56147,-0.44257,"Metropolitan,Piccadilly"
Kennington ,51.48823,-0.10587,Northern
Kensal Green ,51.53060655,-0.224253545,Bakerloo
Kensal Rise ,51.53387,-0.22145,London Overground
Kensington (Olympia) ,51.49675,-0.20931,District 
Kentish Town ,51.55046,-0.14067,Northern 
Kentish Town West ,51.54776,-0.14708,London Overground
Kenton ,51.58173809,-0.316870809,Bakerloo
Kew Gardens ,51.47725641,-0.284980014,District
Kilburn ,51.5471715,-0.205002,Jubilee
Kilburn Park ,51.53495818,-0.193963023,Bakerloo 
King's Cross St.Pancras ,51.53057,-0.12399,"Piccadilly,Circle,Victoria,Northern,Metropolitan,Hammersmith & City "
King's Cross Thameslink ,51.5308,-0.12044,Thameslink 
Kingsbury ,51.58422,-0.2788,Jubilee
Knightsbridge ,51.50169,-0.1603,Piccadilly
Ladbroke Grove ,51.5173,-0.21114,Hammersmith & City 
Lambeth North ,51.49894,-0.11216,Bakerloo
Lancaster Gate ,51.512083,-0.175067,Central
Latimer Road ,51.513125,-0.218428,Hammersmith & City
Leicester Square ,51.51148,-0.12849,"Northern,Piccadilly"
Leyton ,51.556483,-0.005669,Central
Leytonstone ,51.56828,0.00739,Central
Liverpool Street ,51.517675,-0.082458,Central
London Bridge ,51.505353,-0.084826,"Jubilee,Northern"
Loughton ,51.6417,+0.05583 ,Central
Maida Vale ,51.52989409,-0.185888819,Bakerloo
Manor House ,51.57038,-0.09601,Piccadilly
Mansion House ,51.51256,-0.09397,"Circle,District"
Marble Arch ,51.513597,-0.15869195,Central
Marylebone ,51.52266,-0.162996,Bakerloo 
Mile End ,51.525306,-0.033471,"Central,District,Hammersmith & City "
Mill Hill East ,51.60892,-0.20965,Northern
Monument ,51.510165,-0.085991,"Circle,District"
